compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
compras values (17270, '01517481', '02528', '2011/11/07', null, 10, 485760, '029')
compras values (21851, '01521583', '02528', '2011/11/14', null, 10, 381940, '029')
compras values (27017, '01525097', '02528', '2011/11/21', null, 10, 489750, '029')
compras values (31707, '01528785', '02528', '2011/11/28', null, 10, 366810, '029')
compras values (7826, '01511148', '02602', '2011/10/25', null, 10, 398600, '029')
compras values (7827, '01509903', '02604', '2011/10/24', null, 10, 210800, '029')
compras values (12480, '01514597', '02604', '2011/11/01', null, 10, 428830, '029')
compras values (27018, '01525098', '02604', '2011/11/21', null, 10, 316400, '029')
compras values (7828, '01510607', '02609', '2011/10/25', null, 5, 278200, '029')
compras values (12481, '01513470', '02609', '2011/10/31', null, 5, 322340, '029')
compras values (17272, '01517480', '02609', '2011/11/07', null, 5, 318660, '029')
compras values (21853, '01521582', '02609', '2011/11/14', null, 5, 416050, '029')
compras values (27019, '01525096', '02609', '2011/11/21', null, 5, 429170, '029')
compras values (31710, '01528784', '02609', '2011/11/28', null, 5, 534410, '029')
compras values (31709, '01529500', '02609', '2011/11/29', null, 5, 71020, '029')
compras values (162, '01507628', '02611', '2011/10/19', null, 14, 152460, '029')
compras values (7829, '01509904', '02611', '2011/10/24', null, 14, 216080, '029')
compras values (15085, '01515546', '02611', '2011/11/03', null, 14, 129860, '029')
compras values (17273, '01517479', '02611', '2011/11/07', null, 14, 190380, '029')
compras values (27020, '01525099', '02611', '2011/11/21', null, 14, 189470, '029')
compras values (31711, '01528786', '02611', '2011/11/28', null, 14, 224600, '029')
compras values (269, '01505758', '03884', '2011/10/14', null, 14, 147250, '029')
compras values (268, '01508842', '03884', '2011/10/20', null, 14, 557000, '029')
compras values (12501, '01515264', '03884', '2011/11/02', null, 14, 405000, '029')
compras values (21397, '01520810', '03884', '2011/11/11', null, 14, 606770, '029')
compras values (24006, '01524015', '03884', '2011/11/17', null, 14, 628700, '029')
compras values (29787, '01527783', '03884', '2011/11/24', null, 14, 649460, '029')
compras values (279, '01503263', '04195', '2011/10/10', null, 10, 627160, '029')
compras values (15104, '01516115', '04195', '2011/11/03', null, 10, 562030, '029')
compras values (21877, '01521735', '04195', '2011/11/14', null, 10, 248070, '029')
compras values (24008, '01523137', '04195', '2011/11/16', null, 10, 679150, '029')
compras values (28933, '01526981', '04195', '2011/11/23', null, 10, 220480, '029')
compras values (30828, '01528155', '04195', '2011/11/25', null, 10, 226620, '029')
compras values (313, '01505389', '04750', '2011/10/13', null, 14, 1016020, '029')
compras values (312, '01507436', '04750', '2011/10/18', null, 13, 1060290, '029')
compras values (311, '01507437', '04750', '2011/10/18', null, 14, 832150, '029')
compras values (7860, '01510420', '04750', '2011/10/24', null, 13, 900270, '029')
compras values (7859, '01510421', '04750', '2011/10/24', null, 14, 939610, '029')
compras values (9757, '01511765', '04750', '2011/10/26', null, 13, 960800, '029')
compras values (9756, '01511766', '04750', '2011/10/26', null, 14, 1024030, '029')
compras values (15113, '01516278', '04750', '2011/11/03', null, 13, 798300, '029')
compras values (15112, '01516279', '04750', '2011/11/03', null, 14, 809600, '029')
compras values (16282, '01516755', '04750', '2011/11/04', null, 14, 1028700, '029')
compras values (20278, '01520426', '04750', '2011/11/10', null, 11, 727500, '029')
compras values (20277, '01520427', '04750', '2011/11/10', null, 13, 922430, '029')
compras values (20276, '01520428', '04750', '2011/11/10', null, 14, 846300, '029')
compras values (24018, '01524021', '04750', '2011/11/17', null, 14, 960870, '029')
compras values (24017, '01524022', '04750', '2011/11/17', null, 13, 978750, '029')
compras values (31745, '01529976', '04750', '2011/11/29', null, 13, 964040, '029')
compras values (31744, '01529977', '04750', '2011/11/29', null, 14, 794770, '029')
compras values (10665, '01512467', '07017', '2011/10/27', null, 14, 370360, '029')
compras values (15139, '01516134', '07017', '2011/11/03', null, 14, 363720, '029')
compras values (24076, '01523161', '07017', '2011/11/16', null, 14, 573620, '029')
compras values (10666, '01511970', '07045', '2011/10/27', null, 7, 343400, '029')
compras values (28965, '01526626', '07508', '2011/11/23', null, 10, 209780, '029')
compras values (550, '01503686', '07638', '2011/10/11', null, 21, 449280, '029')
compras values (18372, '01518400', '07638', '2011/11/08', null, 21, 181800, '029')
compras values (20309, '01519892', '07638', '2011/11/10', null, 21, 163350, '029')
compras values (21944, '01521658', '07638', '2011/11/14', null, 21, 283080, '029')
compras values (24092, '01523559', '07638', '2011/11/17', null, 21, 603720, '029')
compras values (27068, '01525258', '07638', '2011/11/21', null, 21, 529620, '029')
compras values (31807, '01528866', '07638', '2011/11/28', null, 21, 321990, '029')
compras values (31806, '01529619', '07638', '2011/11/29', null, 21, 149370, '029')
compras values (572, '01502818', '07799', '2011/10/10', null, 10, 111360, '029')
compras values (571, '01506290', '07799', '2011/10/17', null, 10, 123520, '029')
compras values (7941, '01509901', '07799', '2011/10/24', null, 10, 120960, '029')
compras values (12596, '01513469', '07799', '2011/10/31', null, 10, 121290, '029')
compras values (21952, '01521581', '07799', '2011/11/14', null, 10, 123420, '029')
compras values (27070, '01525095', '07799', '2011/11/21', null, 10, 128040, '029')
compras values (31813, '01528783', '07799', '2011/11/28', null, 10, 147400, '029')
compras values (590, '01503737', '07920', '2011/10/11', null, 21, 879590, '029')
compras values (589, '01506046', '07920', '2011/10/16', null, 15, 167310, '029')
compras values (16297, '01516706', '07920', '2011/11/04', null, 21, 715020, '029')
compras values (21956, '01521762', '07920', '2011/11/14', null, 21, 864650, '029')
compras values (27074, '01525633', '07920', '2011/11/21', null, 15, 126020, '029')
compras values (12602, '02514311', '07920', '2011/10/31', null, 21, 810960, '029')
compras values (593, '01502731', '07921', '2011/10/10', null, 21, 329030, '029')
compras values (592, '01504706', '07921', '2011/10/13', null, 16, 160440, '029')
compras values (591, '01506271', '07921', '2011/10/17', null, 21, 296070, '029')
compras values (7946, '01509881', '07921', '2011/10/24', null, 21, 226070, '029')
compras values (7945, '01510625', '07921', '2011/10/25', null, 21, 301600, '029')
compras values (10688, '01511953', '07921', '2011/10/27', null, 21, 644360, '029')
compras values (12604, '01513363', '07921', '2011/10/31', null, 21, 291880, '029')
compras values (12603, '01514570', '07921', '2011/11/01', null, 21, 330000, '029')
compras values (15153, '01515525', '07921', '2011/11/03', null, 21, 197940, '029')
compras values (17325, '01517435', '07921', '2011/11/07', null, 21, 315410, '029')
compras values (20313, '01519750', '07921', '2011/11/10', null, 21, 323710, '029')
compras values (21411, '01520581', '07921', '2011/11/11', null, 21, 371470, '029')
compras values (21957, '01521570', '07921', '2011/11/14', null, 21, 210880, '029')
compras values (27075, '01525128', '07921', '2011/11/21', null, 21, 611640, '029')
compras values (31820, '01528777', '07921', '2011/11/28', null, 21, 413920, '029')
compras values (754, '05244472', '09732', '2011/10/12', null, 10, 81600, '029')
compras values (753, '05245440', '09732', '2011/10/18', null, 10, 119890, '029')
compras values (7980, '05246738', '09732', '2011/10/25', null, 10, 81600, '029')
compras values (15185, '05248495', '09732', '2011/11/03', null, 10, 123110, '029')
compras values (19399, '05249600', '09732', '2011/11/09', null, 10, 83300, '029')
compras values (24139, '05250894', '09732', '2011/11/16', null, 10, 88200, '029')
compras values (28082, '05251981', '09732', '2011/11/22', null, 10, 162650, '029')
compras values (766, '01502733', '09836', '2011/10/10', null, 10, 370000, '029')
compras values (765, '01506881', '09836', '2011/10/18', null, 10, 207660, '029')
compras values (7982, '01509880', '09836', '2011/10/24', null, 10, 553490, '029')
compras values (18398, '01518259', '09836', '2011/11/08', null, 10, 967190, '029')
compras values (27094, '01525129', '09836', '2011/11/21', null, 10, 463650, '029')
compras values (30893, '01528260', '09836', '2011/11/27', null, 10, 348210, '029')
compras values (31857, '01528776', '09836', '2011/11/28', null, 10, 699840, '029')
compras values (867, '01504632', '10382', '2011/10/13', null, 21, 123420, '029')
compras values (866, '01506179', '10382', '2011/10/17', null, 21, 1944500, '029')
compras values (865, '01508103', '10382', '2011/10/20', null, 21, 317200, '029')
compras values (8004, '01510545', '10382', '2011/10/25', null, 21, 354450, '029')
compras values (10765, '01511889', '10382', '2011/10/27', null, 21, 490550, '029')
compras values (12711, '01513276', '10382', '2011/10/31', null, 21, 392390, '029')
compras values (16322, '01516440', '10382', '2011/11/04', null, 21, 850680, '029')
compras values (18411, '01518195', '10382', '2011/11/08', null, 21, 773800, '029')
compras values (20356, '01519688', '10382', '2011/11/10', null, 21, 81600, '029')
compras values (24169, '01522611', '10382', '2011/11/16', null, 21, 789530, '029')
compras values (28094, '01525825', '10382', '2011/11/22', null, 21, 497000, '029')
compras values (31882, '01528721', '10382', '2011/11/28', null, 21, 273750, '029')
compras values (31881, '01529396', '10382', '2011/11/29', null, 21, 331500, '029')
compras values (942, '01509302', '10737', '2011/10/23', null, 10, 200060, '029')
compras values (17373, '01517455', '11164', '2011/11/07', null, 21, 9890160, '029')
compras values (1276, '01506248', '13087', '2011/10/17', null, 21, 755200, '029')
compras values (1275, '01509386', '13087', '2011/10/23', null, 21, 394500, '029')
compras values (8115, '01509853', '13087', '2011/10/24', null, 21, 287240, '029')
compras values (9854, '01511315', '13087', '2011/10/26', null, 21, 401450, '029')
compras values (10861, '01512975', '13087', '2011/10/30', null, 21, 617760, '029')
compras values (12855, '01513443', '13087', '2011/10/31', null, 21, 703380, '029')
compras values (17424, '01517420', '13087', '2011/11/07', null, 21, 565940, '029')
compras values (22136, '01520919', '13087', '2011/11/13', null, 21, 590040, '029')
compras values (22135, '01521508', '13087', '2011/11/14', null, 21, 551590, '029')
compras values (27170, '01525053', '13087', '2011/11/21', null, 21, 519880, '029')
compras values (31990, '01528703', '13087', '2011/11/28', null, 21, 536580, '029')
compras values (1434, '05243990', '14100', '2011/10/10', null, 14, 321530, '029')
compras values (1433, '05245438', '14100', '2011/10/18', null, 14, 399080, '029')
compras values (12917, '05248263', '14100', '2011/11/02', null, 14, 225900, '029')
compras values (17455, '05249082', '14100', '2011/11/07', null, 10, 476920, '029')
compras values (22190, '05250675', '14100', '2011/11/15', null, 14, 351900, '029')
compras values (27195, '05251763', '14100', '2011/11/21', null, 14, 419260, '029')
compras values (1591, '01502674', '14770', '2011/10/10', null, 21, 164920, '029')
compras values (1590, '01504623', '14770', '2011/10/13', null, 21, 583470, '029')
compras values (1589, '01508092', '14770', '2011/10/20', null, 21, 369870, '029')
compras values (10930, '01511881', '14770', '2011/10/27', null, 21, 364140, '029')
compras values (18511, '01518185', '14770', '2011/11/08', null, 21, 171340, '029')
compras values (20426, '01519673', '14770', '2011/11/10', null, 21, 271520, '029')
compras values (22230, '01521545', '14770', '2011/11/14', null, 21, 250770, '029')
compras values (27215, '01525014', '14770', '2011/11/21', null, 21, 262440, '029')
compras values (29947, '01527126', '14770', '2011/11/24', null, 21, 140640, '029')
compras values (32067, '01528715', '14770', '2011/11/28', null, 21, 391480, '029')
compras values (24365, '01523308', '14778', '2011/11/17', null, 21, 368290, '029')
compras values (1593, '01503421', '14781', '2011/10/10', null, 21, 1206780, '029')
compras values (1592, '01507429', '14781', '2011/10/18', null, 21, 1232000, '029')
compras values (8204, '01511142', '14781', '2011/10/25', null, 21, 611700, '029')
compras values (19505, '01519552', '14781', '2011/11/09', null, 21, 959650, '029')
compras values (24366, '01523205', '14781', '2011/11/16', null, 21, 387900, '029')
compras values (12978, '02514375', '14781', '2011/10/31', null, 21, 468840, '029')
compras values (12977, '02514387', '14781', '2011/10/31', null, 21, 365340, '029')
compras values (1609, '01502554', '14838', '2011/10/10', null, 21, 93500, '029')
compras values (1608, '01504576', '14838', '2011/10/13', null, 21, 592470, '029')
compras values (1607, '01505802', '14838', '2011/10/16', null, 21, 806130, '029')
compras values (8206, '01510514', '14838', '2011/10/25', null, 15, 159000, '029')
compras values (12982, '01514781', '14838', '2011/11/02', null, 21, 330740, '029')
compras values (15295, '01515678', '14838', '2011/11/03', null, 21, 656080, '029')
compras values (15294, '01515679', '14838', '2011/11/03', null, 21, 587930, '029')
compras values (17481, '01517253', '14838', '2011/11/07', null, 21, 143590, '029')
compras values (18513, '01518137', '14838', '2011/11/08', null, 21, 712660, '029')
compras values (20431, '01519651', '14838', '2011/11/10', null, 21, 331270, '029')
compras values (20430, '01519652', '14838', '2011/11/10', null, 21, 646250, '029')
compras values (22236, '01520874', '14838', '2011/11/13', null, 21, 188430, '029')
compras values (24371, '01523266', '14838', '2011/11/17', null, 21, 622440, '029')
compras values (27216, '01524961', '14838', '2011/11/21', null, 21, 297080, '029')
compras values (28196, '01525758', '14838', '2011/11/22', null, 21, 217340, '029')
compras values (31018, '01528286', '14838', '2011/11/27', null, 21, 179600, '029')
compras values (32070, '01528608', '14838', '2011/11/28', null, 14, 122640, '029')
compras values (1619, '01507985', '14905', '2011/10/19', null, 21, 940380, '029')
compras values (1618, '01507986', '14905', '2011/10/19', null, 21, 99000, '029')
compras values (1617, '01509511', '14905', '2011/10/23', null, 21, 418500, '029')
compras values (8214, '01510381', '14905', '2011/10/24', null, 21, 137000, '029')
compras values (10935, '01513227', '14905', '2011/10/30', null, 21, 98000, '029')
compras values (12987, '01515325', '14905', '2011/11/02', null, 21, 1706240, '029')
compras values (12986, '01515340', '14905', '2011/11/02', null, 21, 1594080, '029')
compras values (15297, '01516194', '14905', '2011/11/03', null, 21, 109760, '029')
compras values (15296, '01516214', '14905', '2011/11/03', null, 21, 189000, '029')
compras values (16883, '01517166', '14905', '2011/11/06', null, 21, 147000, '029')
compras values (19509, '01519449', '14905', '2011/11/09', null, 21, 147000, '029')
compras values (19508, '01519513', '14905', '2011/11/09', null, 21, 1347000, '029')
compras values (22239, '01522443', '14905', '2011/11/15', null, 21, 82140, '029')
compras values (24375, '01523136', '14905', '2011/11/16', null, 21, 1725300, '029')
compras values (24374, '01523997', '14905', '2011/11/17', null, 21, 1005120, '029')
compras values (24373, '01524085', '14905', '2011/11/17', null, 21, 147000, '029')
compras values (29084, '01526952', '14905', '2011/11/23', null, 21, 1615500, '029')
compras values (31020, '01528496', '14905', '2011/11/27', null, 21, 397900, '029')
compras values (32074, '01529951', '14905', '2011/11/29', null, 21, 56300, '029')
compras values (32073, '01529952', '14905', '2011/11/29', null, 21, 170000, '029')
compras values (1652, '01502040', '15127', '2011/10/09', null, 21, 375290, '029')
compras values (10943, '01511919', '15127', '2011/10/27', null, 15, 169320, '029')
compras values (29087, '01526591', '15127', '2011/11/23', null, 21, 965140, '029')
compras values (8261, '01509884', '15733', '2011/10/24', null, 21, 725950, '029')
compras values (29966, '01527164', '15733', '2011/11/24', null, 21, 984330, '029')
compras values (1860, '01505909', '16111', '2011/10/16', null, 21, 1620810, '029')
compras values (1859, '01508200', '16111', '2011/10/20', null, 15, 138360, '029')
compras values (1858, '01509288', '16111', '2011/10/23', null, 21, 165060, '029')
compras values (10979, '01512047', '16111', '2011/10/27', null, 15, 221240, '029')
compras values (10978, '01513017', '16111', '2011/10/30', null, 21, 1367410, '029')
compras values (13088, '01513707', '16111', '2011/10/31', null, 21, 276520, '029')
compras values (13086, '01514909', '16111', '2011/11/02', null, 21, 186490, '029')
compras values (15333, '01515575', '16111', '2011/11/03', null, 21, 229280, '029')
compras values (16898, '01516849', '16111', '2011/11/06', null, 21, 260570, '029')
compras values (20461, '01519776', '16111', '2011/11/10', null, 21, 268580, '029')
compras values (22294, '01520987', '16111', '2011/11/13', null, 21, 373430, '029')
compras values (24454, '01523518', '16111', '2011/11/17', null, 21, 290530, '029')
compras values (26316, '01524666', '16111', '2011/11/20', null, 21, 218410, '029')
compras values (29975, '01527206', '16111', '2011/11/24', null, 21, 307330, '029')
compras values (31040, '01528343', '16111', '2011/11/27', null, 21, 235690, '029')
compras values (13087, '02514279', '16111', '2011/10/31', null, 21, 276520, '029')
compras values (1866, '01505892', '16137', '2011/10/16', null, 14, 710360, '029')
compras values (1865, '01507609', '16137', '2011/10/19', null, 14, 224700, '029')
compras values (1864, '01508174', '16137', '2011/10/20', null, 14, 582270, '029')
compras values (10980, '01511954', '16137', '2011/10/27', null, 14, 738440, '029')
compras values (13090, '01513365', '16137', '2011/10/31', null, 14, 274650, '029')
compras values (15334, '01515527', '16137', '2011/11/03', null, 14, 504290, '029')
compras values (16397, '01516547', '16137', '2011/11/04', null, 14, 163450, '029')
compras values (20462, '01519751', '16137', '2011/11/10', null, 14, 1211770, '029')
compras values (22295, '01520936', '16137', '2011/11/13', null, 14, 247500, '029')
compras values (24456, '01523420', '16137', '2011/11/17', null, 14, 896400, '029')
compras values (26319, '01524277', '16137', '2011/11/18', null, 14, 326960, '029')
compras values (26318, '01524629', '16137', '2011/11/20', null, 14, 365200, '029')
compras values (28225, '01525886', '16137', '2011/11/22', null, 14, 561220, '029')
compras values (29976, '01527161', '16137', '2011/11/24', null, 14, 1427140, '029')
compras values (31041, '01528259', '16137', '2011/11/27', null, 14, 242460, '029')
compras values (1885, '05244715', '16181', '2011/10/13', null, 7, 324160, '029')
compras values (1884, '05245441', '16181', '2011/10/18', null, 7, 250860, '029')
compras values (8283, '05246739', '16181', '2011/10/25', null, 7, 308260, '029')
compras values (13096, '05248103', '16181', '2011/11/01', null, 7, 257270, '029')
compras values (18544, '05249329', '16181', '2011/11/08', null, 7, 265610, '029')
compras values (24460, '05250893', '16181', '2011/11/16', null, 7, 289250, '029')
compras values (28228, '05251982', '16181', '2011/11/22', null, 7, 256640, '029')
compras values (32137, '05253239', '16181', '2011/11/29', null, 7, 272210, '029')
compras values (2319, '01502112', '18359', '2011/10/09', null, 10, 576900, '029')
compras values (2318, '01502739', '18359', '2011/10/10', null, 10, 476600, '029')
compras values (22446, '01521641', '18506', '2011/11/14', null, 21, 279240, '029')
compras values (24576, '01523567', '18506', '2011/11/17', null, 21, 318400, '029')
compras values (26380, '01524362', '18506', '2011/11/18', null, 21, 551820, '029')
compras values (2381, '01509113', '18744', '2011/10/21', null, 21, 431900, '029')
compras values (22454, '01521221', '18744', '2011/11/13', null, 15, 404250, '029')
compras values (32265, '01529178', '18744', '2011/11/28', null, 21, 1270930, '029')
compras values (2422, '01507421', '18935', '2011/10/18', null, 14, 1959420, '029')
compras values (17597, '01517976', '18935', '2011/11/07', null, 14, 609980, '029')
compras values (20545, '01520401', '18935', '2011/11/10', null, 14, 601570, '029')
compras values (2532, '01505390', '19297', '2011/10/13', null, 14, 138710, '029')
compras values (8429, '01510422', '19297', '2011/10/24', null, 14, 131840, '029')
compras values (15429, '01516280', '19297', '2011/11/03', null, 14, 176670, '029')
compras values (24622, '01524023', '19297', '2011/11/17', null, 14, 200530, '029')
compras values (32294, '01529978', '19297', '2011/11/29', null, 14, 176320, '029')
compras values (2660, '01502732', '19913', '2011/10/10', null, 15, 398370, '029')
compras values (2659, '01506272', '19913', '2011/10/17', null, 15, 318120, '029')
compras values (2658, '01508920', '19913', '2011/10/21', null, 15, 231970, '029')
compras values (8470, '01509879', '19913', '2011/10/24', null, 15, 214250, '029')
compras values (11185, '01511955', '19913', '2011/10/27', null, 15, 150950, '029')
compras values (13369, '01513364', '19913', '2011/10/31', null, 15, 466970, '029')
compras values (15448, '01515526', '19913', '2011/11/03', null, 15, 330820, '029')
compras values (19625, '01519017', '19913', '2011/11/09', null, 15, 426760, '029')
compras values (22517, '01521571', '19913', '2011/11/14', null, 15, 524970, '029')
compras values (27352, '01525130', '19913', '2011/11/21', null, 15, 399950, '029')
compras values (2684, '01502741', '19998', '2011/10/10', null, 15, 465220, '029')
compras values (2683, '01506287', '19998', '2011/10/17', null, 15, 453670, '029')
compras values (2682, '01508922', '19998', '2011/10/21', null, 15, 202370, '029')
compras values (8475, '01509892', '19998', '2011/10/24', null, 15, 263360, '029')
compras values (11195, '01511965', '19998', '2011/10/27', null, 15, 220240, '029')
compras values (13376, '01513382', '19998', '2011/10/31', null, 15, 355860, '029')
compras values (15453, '01515537', '19998', '2011/11/03', null, 15, 314940, '029')
compras values (17632, '01517457', '19998', '2011/11/07', null, 15, 306290, '029')
compras values (20585, '01519767', '19998', '2011/11/10', null, 15, 344000, '029')
compras values (22526, '01521579', '19998', '2011/11/14', null, 15, 430530, '029')
compras values (27356, '01525142', '19998', '2011/11/21', null, 15, 316420, '029')
compras values (30084, '01527174', '19998', '2011/11/24', null, 15, 155250, '029')
compras values (32325, '01529483', '19998', '2011/11/29', null, 15, 302020, '029')
compras values (2890, '01504716', '20612', '2011/10/13', null, 21, 461040, '029')
compras values (2889, '01506286', '20612', '2011/10/17', null, 21, 907400, '029')
compras values (2888, '01508925', '20612', '2011/10/21', null, 21, 390000, '029')
compras values (8528, '01510634', '20612', '2011/10/25', null, 21, 719600, '029')
compras values (10031, '01511373', '20612', '2011/10/26', null, 21, 77000, '029')
compras values (13438, '01513379', '20612', '2011/10/31', null, 21, 1514290, '029')
compras values (18669, '01518266', '20612', '2011/11/08', null, 21, 269200, '029')
compras values (24699, '01522699', '20612', '2011/11/16', null, 21, 956840, '029')
compras values (28348, '01525891', '20612', '2011/11/22', null, 21, 1324050, '029')
compras values (32363, '01528775', '20612', '2011/11/28', null, 21, 354020, '029')
compras values (2893, '01506163', '20614', '2011/10/17', null, 21, 2954970, '029')
compras values (2892, '01506164', '20614', '2011/10/17', null, 20, 622200, '029')
compras values (2891, '01508159', '20614', '2011/10/20', null, 21, 764400, '029')
compras values (8529, '01510603', '20614', '2011/10/25', null, 21, 2181700, '029')
compras values (10032, '01511238', '20614', '2011/10/26', null, 21, 1054000, '029')
compras values (13439, '01513337', '20614', '2011/10/31', null, 21, 2246040, '029')
compras values (15477, '01515471', '20614', '2011/11/03', null, 21, 571200, '029')
compras values (16478, '01516479', '20614', '2011/11/04', null, 21, 816000, '029')
compras values (18670, '01518183', '20614', '2011/11/08', null, 21, 644400, '029')
compras values (21604, '01520533', '20614', '2011/11/11', null, 21, 1239700, '029')
compras values (24701, '01522596', '20614', '2011/11/16', null, 21, 1602000, '029')
compras values (24700, '01523386', '20614', '2011/11/17', null, 21, 915960, '029')
compras values (26452, '01524164', '20614', '2011/11/18', null, 21, 0, '029')
compras values (28349, '01525850', '20614', '2011/11/22', null, 21, 5227380, '029')
compras values (32364, '01528682', '20614', '2011/11/28', null, 21, 2420300, '029')
compras values (2955, '01505356', '21049', '2011/10/13', null, 7, 403150, '029')
compras values (13461, '01514398', '21049', '2011/10/31', null, 7, 423080, '029')
compras values (16484, '01516798', '21049', '2011/11/04', null, 7, 455920, '029')
compras values (26462, '01524501', '21049', '2011/11/18', null, 7, 461340, '029')
compras values (32383, '01529272', '21049', '2011/11/28', null, 7, 404620, '029')
compras values (2968, '01503264', '21098', '2011/10/10', null, 14, 257950, '029')
compras values (2967, '01507329', '21098', '2011/10/18', null, 14, 540830, '029')
compras values (8546, '01510981', '21098', '2011/10/25', null, 14, 272550, '029')
compras values (15485, '01516116', '21098', '2011/11/03', null, 14, 3193470, '029')
compras values (16487, '01516647', '21098', '2011/11/04', null, 14, 259250, '029')
compras values (24718, '01523138', '21098', '2011/11/16', null, 14, 310980, '029')
compras values (13464, '02514228', '21098', '2011/10/31', null, 14, 190000, '029')
compras values (3247, '01506626', '22443', '2011/10/17', null, 21, 515150, '029')
compras values (3246, '01509487', '22443', '2011/10/23', null, 21, 683700, '029')
compras values (11328, '01512462', '22443', '2011/10/27', null, 21, 2980610, '029')
compras values (11327, '01512463', '22443', '2011/10/27', null, 21, 538170, '029')
compras values (15533, '01516123', '22443', '2011/11/03', null, 21, 407700, '029')
compras values (21630, '01520746', '22443', '2011/11/11', null, 21, 760420, '029')
compras values (26507, '01524783', '22443', '2011/11/20', null, 21, 571490, '029')
compras values (26506, '01524784', '22443', '2011/11/20', null, 21, 669740, '029')
compras values (30159, '01527704', '22443', '2011/11/24', null, 21, 934980, '029')
compras values (32455, '01529182', '22443', '2011/11/28', null, 21, 436330, '029')
compras values (32454, '01529891', '22443', '2011/11/29', null, 21, 496400, '029')
compras values (3325, '01502737', '22820', '2011/10/10', null, 15, 411630, '029')
compras values (3324, '01506886', '22820', '2011/10/18', null, 15, 348050, '029')
compras values (8627, '01509893', '22820', '2011/10/24', null, 15, 483370, '029')
compras values (13574, '01513378', '22820', '2011/10/31', null, 15, 303480, '029')
compras values (17715, '01517451', '22820', '2011/11/07', null, 15, 157950, '029')
compras values (19691, '01519022', '22820', '2011/11/09', null, 15, 187440, '029')
compras values (24811, '01523426', '22820', '2011/11/17', null, 15, 275190, '029')
compras values (3445, '05244471', '23624', '2011/10/12', null, 10, 162630, '029')
compras values (18747, '05249328', '23624', '2011/11/08', null, 10, 250870, '029')
compras values (3546, '01505924', '24105', '2011/10/16', null, 21, 326250, '029')
compras values (8683, '01510058', '24105', '2011/10/24', null, 21, 230350, '029')
compras values (22757, '01521657', '24105', '2011/11/14', null, 21, 316200, '029')
compras values (26538, '01524355', '24105', '2011/11/18', null, 21, 306550, '029')
compras values (27473, '01525256', '24105', '2011/11/21', null, 21, 187950, '029')
compras values (29299, '01526655', '24105', '2011/11/23', null, 21, 131340, '029')
compras values (3683, '01503262', '24726', '2011/10/10', null, 14, 186530, '029')
compras values (3682, '01506619', '24726', '2011/10/17', null, 14, 56700, '029')
compras values (13687, '01514685', '24726', '2011/11/01', null, 14, 255880, '029')
compras values (20734, '01520326', '24726', '2011/11/10', null, 14, 189230, '029')
compras values (24915, '01524069', '24726', '2011/11/17', null, 14, 149480, '029')
compras values (28443, '01526257', '24726', '2011/11/22', null, 14, 757420, '029')
compras values (29312, '01526980', '24726', '2011/11/23', null, 14, 74240, '029')
compras values (32551, '01529885', '24726', '2011/11/29', null, 14, 238000, '029')
compras values (13688, '02514227', '24726', '2011/10/31', null, 14, 240400, '029')
compras values (3834, '01506317', '25320', '2011/10/17', null, 20, 1980000, '029')
compras values (3833, '01506318', '25320', '2011/10/17', null, 21, 2524760, '029')
compras values (3832, '01507594', '25320', '2011/10/19', null, 21, 5000300, '029')
